Channel Name,Handle,Channel URL,Category,Monitor Long,Monitor Shorts,Priority
Vaibhav Sisinty,@vaibhavsisinty,https://www.youtube.com/@vaibhavsisinty,Long + Shorts,yes,yes,1
Varun Mayya,@VarunMayya,https://www.youtube.com/@VarunMayya,Long + Shorts,yes,yes,1
Builders Central,@BuildersCentral,https://www.youtube.com/@BuildersCentral,Long + Shorts,yes,yes,1
The Utkarsh,@TheUtkarshhh,https://www.youtube.com/@TheUtkarshhh,Long + Shorts,yes,yes,1
Ishan Sharma,@IshanSharma7390,https://www.youtube.com/@IshanSharma7390,Long + Shorts,yes,yes,1
Nate Herk,@nateherk,https://www.youtube.com/@nateherk,Long + Shorts,yes,yes,1
Jack,@Itssssss_Jack,https://www.youtube.com/@Itssssss_Jack,Long + Shorts,yes,yes,1
100x Engineers,@100xEngineers,https://www.youtube.com/@100xEngineers,Long + Shorts,yes,yes,1
AI Vishnu Vijayan,@Ai.Vishnuvijayan,https://www.youtube.com/@Ai.Vishnuvijayan,Long + Shorts,yes,yes,1
Eric W Tech,@EricWTech,https://www.youtube.com/@EricWTech,Long + Shorts,yes,yes,1
TG Films Course,@tgfilmscourse643,https://www.youtube.com/@tgfilmscourse643,Long + Shorts,yes,yes,1
Piyush Garg,@piyushgargdev,https://www.youtube.com/@piyushgargdev,Long + Shorts,yes,yes,1
Krumjahn,@krumjahn,https://www.youtube.com/@krumjahn,Long + Shorts,yes,yes,1
Rakin Jakaria,@RakinJakaria,https://www.youtube.com/@RakinJakaria,Long + Shorts,yes,yes,1
Greg Preece,@GregPreece,https://www.youtube.com/@GregPreece,Long + Shorts,yes,yes,1
Brendan Automation,@brendanautomation,https://www.youtube.com/@brendanautomation,Long + Shorts,yes,yes,1
Creative Pad Media,@CreativePadMedia,https://www.youtube.com/@CreativePadMedia,Long + Shorts,yes,yes,1
H Gandotra,@Hgandotra,https://www.youtube.com/@Hgandotra,Long + Shorts,yes,yes,1
VDM Social,@vdmsocial1,https://www.youtube.com/@vdmsocial1,Long + Shorts,yes,yes,1
Hasan Aboul Hasan,@hasanaboulhasan,https://www.youtube.com/@hasanaboulhasan,Long + Shorts,yes,yes,1
Professor of AI,@professorofai.official,https://www.youtube.com/@professorofai.official,Long + Shorts,yes,yes,1
Get to the Next Level,@gettothenextlevel,https://www.youtube.com/@gettothenextlevel,Long + Shorts,yes,yes,1
Chase H AI,@Chase-H-AI,https://www.youtube.com/@Chase-H-AI,Long + Shorts,yes,yes,1
Charlie Automates,@charlieautomates,https://www.youtube.com/@charlieautomates,Long + Shorts,yes,yes,1
Lead Gen Man,@LeadGenMan,https://www.youtube.com/@LeadGenMan,Long + Shorts,yes,yes,1
Coding Simplified Space,@codingsimplifiedspace,https://www.youtube.com/@codingsimplifiedspace,Long + Shorts,yes,yes,1
Rahul Iyer AI,@RahulIyerAI,https://www.youtube.com/@RahulIyerAI,Shorts Only,no,yes,1
Insider Force,@InsiderForce,https://www.youtube.com/@InsiderForce,Shorts Only,no,yes,1
AI Adventurer,@aiadventurer-p1l,https://www.youtube.com/@aiadventurer-p1l,Shorts Only,no,yes,1
BPro Club,@Bproclub,https://www.youtube.com/@Bproclub,Shorts Only,no,yes,1
Yury AI,@Yury_AI,https://www.youtube.com/@Yury_AI,Shorts Only,no,yes,1
Sid Curious,@sid.curious,https://www.youtube.com/@sid.curious,Shorts Only,no,yes,1
Nick Automates,@nickautomates,https://www.youtube.com/@nickautomates,Shorts Only,no,yes,1
