No.,Channel Name,Handle,Category,Observed Long Videos,Observed Shorts,Channel URL,Checked Date
1,Vaibhav Sisinty,@vaibhavsisinty,Long + Shorts,30+,48+,https://www.youtube.com/@vaibhavsisinty,2026-07-27
2,Varun Mayya,@VarunMayya,Long + Shorts,30+,48+,https://www.youtube.com/@VarunMayya,2026-07-27
3,Builders Central,@BuildersCentral,Long + Shorts,30+,48+,https://www.youtube.com/@BuildersCentral,2026-07-27
4,The Utkarsh,@TheUtkarshhh,Long + Shorts,30+,48+,https://www.youtube.com/@TheUtkarshhh,2026-07-27
5,Ishan Sharma,@IshanSharma7390,Long + Shorts,30+,48+,https://www.youtube.com/@IshanSharma7390,2026-07-27
6,Nate Herk,@nateherk,Long + Shorts,30+,48+,https://www.youtube.com/@nateherk,2026-07-27
7,Jack,@Itssssss_Jack,Long + Shorts,30+,48+,https://www.youtube.com/@Itssssss_Jack,2026-07-27
8,100x Engineers,@100xEngineers,Long + Shorts,30+,48+,https://www.youtube.com/@100xEngineers,2026-07-27
9,AI Vishnu Vijayan,@Ai.Vishnuvijayan,Long + Shorts,16,48+,https://www.youtube.com/@Ai.Vishnuvijayan,2026-07-27
10,Eric W Tech,@EricWTech,Long + Shorts,30+,11,https://www.youtube.com/@EricWTech,2026-07-27
11,TG Films Course,@tgfilmscourse643,Long + Shorts,22,48+,https://www.youtube.com/@tgfilmscourse643,2026-07-27
12,Piyush Garg,@piyushgargdev,Long + Shorts,30+,48+,https://www.youtube.com/@piyushgargdev,2026-07-27
13,Krumjahn,@krumjahn,Long + Shorts,30+,46,https://www.youtube.com/@krumjahn,2026-07-27
14,Rakin Jakaria,@RakinJakaria,Long + Shorts,30+,11,https://www.youtube.com/@RakinJakaria,2026-07-27
15,Greg Preece,@GregPreece,Long + Shorts,30+,48+,https://www.youtube.com/@GregPreece,2026-07-27
16,Brendan Automation,@brendanautomation,Long + Shorts,30+,48+,https://www.youtube.com/@brendanautomation,2026-07-27
17,Creative Pad Media,@CreativePadMedia,Long + Shorts,30+,27,https://www.youtube.com/@CreativePadMedia,2026-07-27
18,H Gandotra,@Hgandotra,Long + Shorts,30+,48+,https://www.youtube.com/@Hgandotra,2026-07-27
19,VDM Social,@vdmsocial1,Long + Shorts,8,48+,https://www.youtube.com/@vdmsocial1,2026-07-27
20,Hasan Aboul Hasan,@hasanaboulhasan,Long + Shorts,30+,34,https://www.youtube.com/@hasanaboulhasan,2026-07-27
21,Professor of AI,@professorofai.official,Long + Shorts,3,48+,https://www.youtube.com/@professorofai.official,2026-07-27
22,Get to the Next Level,@gettothenextlevel,Long + Shorts,4,48+,https://www.youtube.com/@gettothenextlevel,2026-07-27
23,Chase H AI,@Chase-H-AI,Long + Shorts,30+,48+,https://www.youtube.com/@Chase-H-AI,2026-07-27
24,Charlie Automates,@charlieautomates,Long + Shorts,30+,48+,https://www.youtube.com/@charlieautomates,2026-07-27
25,Lead Gen Man,@LeadGenMan,Long + Shorts,30+,48+,https://www.youtube.com/@LeadGenMan,2026-07-27
26,Coding Simplified Space,@codingsimplifiedspace,Long + Shorts,30+,48+,https://www.youtube.com/@codingsimplifiedspace,2026-07-27
27,Rahul Iyer AI,@RahulIyerAI,Shorts Only,0,48+,https://www.youtube.com/@RahulIyerAI,2026-07-27
28,Insider Force,@InsiderForce,Shorts Only,0,42,https://www.youtube.com/@InsiderForce,2026-07-27
29,AI Adventurer,@aiadventurer-p1l,Shorts Only,1,48+,https://www.youtube.com/@aiadventurer-p1l,2026-07-27
30,BPro Club,@Bproclub,Shorts Only,0,48+,https://www.youtube.com/@Bproclub,2026-07-27
31,Yury AI,@Yury_AI,Shorts Only,1,48+,https://www.youtube.com/@Yury_AI,2026-07-27
32,Sid Curious,@sid.curious,Shorts Only,0,48+,https://www.youtube.com/@sid.curious,2026-07-27
33,Nick Automates,@nickautomates,Shorts Only,0,48+,https://www.youtube.com/@nickautomates,2026-07-27

